"pid","assessed_value"
1,209153.87667752
2,297437.321577419
3,168798.283897174
4,110966.812200332
5,339139.386508221
6,74019.0389545789
7,182342.190833369
8,543125.653422115
9,219343.309276443
10,486643.616155334
11,71485.7691611664
12,385615.508336309
13,107499.191153852
14,185480.568224861
15,386014.17083509
16,105293.017152296
17,90898.3623725054
18,301626.597524378
19,115364.790464619
20,131574.16487014
21,318760.066371051
22,113062.289020726
23,178801.967171892
24,567666.710123748
25,526874.752832218
26,80023.8986784263
27,165406.194688733
28,775094.100504239
29,15984.6543855422
30,100864.001552559
31,155466.657829261
32,183868.204854217
33,415441.966378703
34,64600.754675099
35,186319.70684709
36,536263.479037684
37,133836.947624596
38,476539.798493126
39,486278.111522263
40,148630.498028372
41,262034.194953249
42,266735.717569599
43,242099.291423617
44,292113.013207619
45,90902.7403370544
46,532247.212614113
47,559732.706612071
48,203920.325028427
49,884639.362292615
50,361852.718256058
51,38644.6359527613
52,309552.97167209
53,79951.6114879475
54,231494.209727308
55,56886.5082330589
56,323552.369620264
57,380827.400058506
58,217448.450864617
59,70362.8058452284
60,358753.823542844
61,92518.9617949944
62,130300.108773228
63,360360.236150496
64,76310.9420803992
65,191650.369327676
66,234452.473037822
67,288976.187565531
68,675722.181600952
69,288459.152033178
70,211866.187127271
71,134171.642290597
72,243660.362648572
73,104027.861025335
74,124404.092249918
75,516934.704298373
76,189308.911472238
77,182798.101718076
78,205862.108997458
79,107998.636006543
80,673395.257075176
81,118400.403338881
82,334575.641830716
83,305363.62273774
84,96763.1934779357
85,142986.546487031
86,24339.8798623925
87,245317.677780689
88,153966.376356116
89,303137.815378162
90,202910.259141041
91,59773.5759354279
92,451553.087107595
93,176023.692091321
94,124710.07839955
95,424745.762707537
96,105682.775864768
97,216137.929895422
98,180213.144124061
99,543981.046678132
100,207560.072233621
101,214435.620722415
102,301726.156512702
103,190624.429155269
104,283431.740409613
105,402311.708546649
106,516748.73111558
107,309601.659167556
108,196549.188908772
109,603737.071641608
110,52235.4689435948
111,249251.403529417
112,447867.728892194
113,655253.847197513
114,725521.190851917
115,233794.686502728
116,469503.573187418
117,182947.1958019
118,391080.692833523
119,351791.407873568
120,236537.253323634
121,275848.34238178
122,158697.335100501
123,183026.177125779
124,32275.4363592596
125,313298.629330021
126,530801.415143149
127,486760.83702681
128,276134.536804717
129,98417.4879812233
130,176377.163159271
131,186587.648282886
132,61121.6824710275
133,233271.586628994
134,188034.462927967
135,106688.047151078
136,315954.662641138
137,129745.136252542
138,70514.746740805
139,250818.404335272
140,49347.1860187374
141,109161.685791617
142,301785.734579947
143,285635.87637671
144,89626.6782647735
145,294034.74742892
146,221510.114326078
147,113588.880734079
148,224350.386104239
149,175622.757120119
150,143764.441558731
151,347751.532652415
152,64884.8702230701
153,201363.812767113
154,228903.403646567
155,409625.967310592
156,120276.128733192
157,375174.095491515
158,237517.627408413
159,149322.618748948
160,413439.151721387
161,557262.512489129
162,131032.029821449
163,128951.318713102
164,140540.291711635
165,246871.910577243
166,415432.48768193
167,144926.912047927
168,270366.740367152
169,166307.233704181
170,153089.28527162
171,111310.580328223
172,487919.29497105
173,71316.1971578659
174,356980.775217006
175,631772.006657489
176,211612.432385908
177,212420.149304747
178,294248.567159924
179,57940.6069928785
180,147534.255310813
181,450208.200697695
182,49107.9434467576
183,293095.536112941
184,196874.516313237
185,277153.929972118
186,245644.335642681
187,143078.892937364
188,212137.152916297
189,318138.563722747
190,576753.307401591
191,495120.656973164
192,341295.355108724
193,597825.890354519
194,174544.630192687
195,231346.150681283
196,59521.8847398163
197,135433.870263244
198,383473.658782429
199,377527.956155904
200,190968.726701501
201,273036.492253468
202,218930.2115484
203,270279.02782018
204,376266.814589409
205,128542.66600225
206,215525.134642004
207,467548.410884821
208,103699.817148882
209,81641.7593631189
210,202717.341146079
211,189973.338263275
212,208440.156449848
213,347787.304838524
214,90760.9690782958
215,600849.852234982
216,863695.396439838
217,159392.369914219
218,282807.402879755
219,345250.779897007
220,221892.824905625
221,300537.373505231
222,242358.422148743
223,252493.686140025
224,663461.866344673
225,281431.820202979
226,102319.38240043
227,500110.278412096
228,471782.362688976
229,631793.938351117
230,383806.752136975
231,462803.435312649
232,315992.283796232
233,207186.205510399
234,167585.592215153
235,251030.379747767
236,43886.141528394
237,388253.494038447
238,207394.553258847
239,696057.879369283
240,69113.9427777054
241,351865.500757113
242,443971.303334186
243,599463.849406999
244,213735.787607612
245,101424.486412027
246,146545.417158293
247,298857.216096493
248,173145.612120445
249,295845.167284911
250,104865.012972413
251,368682.976613156
252,332811.325668953
253,85779.6573517406
254,680738.511428101
255,694532.0760639
256,699866.261396139
257,606976.388230505
258,57161.0923811018
259,219044.450025769
260,98916.6325430591
261,97004.3623550564
262,868654.010485661
263,-44238.1727674215
264,37406.6355569829
265,242040.610367303
266,332949.006878013
267,306742.897405834
268,207407.148500314
269,112850.133303985
270,343676.273611872
271,214326.495077381
272,293276.738014127
273,337614.358116403
274,320418.68949394
275,367312.542909565
276,109312.304770862
277,528418.016697917
278,244606.151988105
279,271760.996614927
280,202056.042170638
281,26210.1114431529
282,492815.949729418
283,309367.88947615
284,343773.581836022
285,367867.453202245
286,453368.660226142
287,359345.255463605
288,252635.185692036
289,134823.722773794
290,683865.954495612
291,269891.673250319
292,339663.993675287
293,339114.988818526
294,172940.727373868
295,87946.5571316415
296,326147.105259242
297,111237.920957513
298,635662.531272578
299,166978.898359995
300,127176.839149061
301,270929.857408426
302,207158.164564634
303,218376.414713944
304,214558.317108521
305,567313.05437458
306,326248.750966041
307,232185.488143581
308,150385.05501973
309,943286.113669666
310,792300.930375928
311,360015.006499187
312,345224.143896069
313,233290.567652016
314,412507.740999545
315,198641.160949435
316,243444.020783249
317,237243.353417107
318,112425.128233526
319,573192.902073815
320,61626.6518509582
321,101811.475534652
322,239765.316209024
323,235335.853559202
324,263035.764463771
325,502818.172122859
326,91979.7809814663
327,350520.558204998
328,58901.3378600028
329,593711.920329138
330,420540.883599348
331,308241.474481884
332,410379.189024502
333,246275.333041147
334,237696.41613127
335,708139.948986627
336,254740.317671384
337,129792.057876735
338,442247.33373802
339,96327.1813394434
340,154757.328205723
341,170808.442353068
342,233583.272116806
343,201772.620747597
